name,language,tools_tech,brief,scale,domain
Adversarial Attacks and Defenses in Deep Learning,Python,"TensorFlow, PyTorch, adversarial attack and defense strategies",Explore techniques for generating adversarial examples to fool deep learning models and develop defenses against such attacks.,3,Machine Learning
Video Object Detection and Tracking,Python,"TensorFlow Object Detection API, OpenCV, deep learning frameworks",Detect and track objects in videos in real-time using advanced deep learning models for object detection and tracking.,3,Machine Learning
Music Generation with Recurrent Neural Networks (RNNs),Python,"TensorFlow, Keras, music generation libraries",Generate music compositions using recurrent neural networks (RNNs) trained on large datasets of musical sequences.,3,Machine Learning
Fake News Detection using Natural Language Processing (NLP),Python,"TensorFlow, scikit-learn, NLP libraries (e.g., NLTK, spaCy)",Detect fake news articles using natural language processing techniques to analyze text content and identify misinformation.,3,Machine Learning
Personal Portfolio Website,JavaScript,"HTML, CSS, JavaScript","Create a personal portfolio website showcasing your skills and projects. Include sections for about me, projects, contact information, and resume download.",1,Web Development
Todo List App,JavaScript,"HTML, CSS, JavaScript","Build a simple todo list application where users can add, edit, and delete tasks. Implement features like marking tasks as completed and filtering tasks based on their status.",1,Web Development
Blogging Platform,JavaScript,"HTML, CSS, JavaScript, Node.js, Express.js, MongoDB","Develop a full-fledged blogging platform where users can create an account, write, publish, and manage their blog posts. Include features like commenting, tagging, and search functionality.",2,Web Development
E-commerce Website,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build an e-commerce website with features such as product listing, search, user authentication, shopping cart, and checkout. Implement payment gateway integration for online transactions.",2,Web Development
Weather App,JavaScript,"HTML, CSS, JavaScript","Create a weather application that fetches and displays the current weather information based on user input (e.g., city name). Include features like temperature, humidity, wind speed, and weather conditions.",1,Web Development
Recipe Finder,JavaScript,"HTML, CSS, JavaScript, React.js","Develop a recipe finder application that allows users to search for recipes based on ingredients or cuisine types. Display recipes with images, ingredients, and preparation instructions.",2,Web Development
Social Media Dashboard,JavaScript,"HTML, CSS, JavaScript, React.js","Build a social media dashboard where users can view and manage their social media accounts in one place. Include features like post scheduling, analytics, and notifications.",3,Web Development
Online Code Editor,JavaScript,"HTML, CSS, JavaScript, Node.js, Express.js, MongoDB","Create an online code editor similar to CodePen or JSFiddle, allowing users to write, edit, and run HTML, CSS, and JavaScript code snippets in real-time. Implement user authentication and saving/sharing functionality.",3,Web Development
Job Board Website,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop a job board website where employers can post job listings and job seekers can search and apply for jobs. Implement features like filtering, sorting, and user profiles.",2,Web Development
Online Quiz App,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build an online quiz application with multiple-choice questions on various topics. Allow users to select quiz categories, attempt quizzes, and view their scores.",2,Web Development
URL Shortener,JavaScript,"HTML, CSS, JavaScript, Node.js, Express.js, MongoDB","Create a URL shortening service that converts long URLs into shorter, more manageable links. Implement features like custom aliases, link expiration, and analytics tracking.",2,Web Development
Chat Application,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, Socket.io","Develop a real-time chat application that allows users to join chat rooms, send messages, and share files. Implement features like user authentication, message history, and typing indicators.",3,Web Development
Music Player,JavaScript,"HTML, CSS, JavaScript, React.js","Build a web-based music player that allows users to play, pause, skip tracks, and adjust volume. Include features like playlist management, shuffle, and repeat.",2,Web Development
Expense Tracker,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create an expense tracker application to manage personal finances. Allow users to add, categorize, and track expenses over time. Provide visualizations such as charts and graphs for better insights.",2,Web Development
Portfolio CMS,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build a content management system (CMS) specifically tailored for portfolio websites. Allow users to easily update and manage their portfolio content, including projects, skills, and contact information.",3,Web Development
Online Learning Platform,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop an online learning platform where instructors can create courses and students can enroll, watch lectures, complete assignments, and track their progress. Implement features like quizzes, discussions, and certificates.",3,Web Development
Event Management System,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build a comprehensive event management system for organizing and managing events, conferences, and workshops. Include features for event registration, ticketing, scheduling, and attendee management.",3,Web Development
Recipe Sharing Platform,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create a recipe sharing platform where users can share their favorite recipes, follow other users, and save recipes to their collections. Implement features like ratings, reviews, and recipe categories.",2,Web Development
Online Marketplace,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop an online marketplace similar to Etsy or eBay, where users can buy and sell products. Include features like product listings, user profiles, messaging, and payment processing.",3,Web Development
Content Aggregator,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build a content aggregator that collects and displays content from various sources (e.g., blogs, news sites, social media). Implement features like content categorization, search, and personalized recommendations.",3,Web Development
Online Banking System,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop a secure online banking system with features like account management, fund transfer, transaction history, and multi-factor authentication. Ensure compliance with banking regulations and security standards.",3,Web Development
Fitness Tracker,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create a fitness tracking application where users can log their workouts, set fitness goals, and track their progress over time. Include features like exercise database, workout plans, and performance analytics.",2,Web Development
Real Estate Listing Website,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build a real estate listing website where users can search for properties, view listings, and contact agents. Implement features like property filters, map integration, and saved searches.",2,Web Development
Task Management Tool,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop a task management tool for organizing and prioritizing tasks and projects. Include features like task lists, due dates, reminders, and collaboration tools.",2,Web Development
Video Streaming Service,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create a video streaming service similar to YouTube or Netflix, allowing users to upload, watch, and share videos. Implement features like user profiles, playlists, recommendations, and content moderation.",3,Web Development
Online Resume Builder,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build an online resume builder application that helps users create professional resumes with customizable templates. Include features like section editing, preview, and PDF export.",2,Web Development
Car Rental System,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop a car rental system where users can search for available vehicles, make reservations, and manage bookings. Include features like vehicle inventory, rental pricing, and booking confirmation.",2,Web Development
Recipe Recommender,JavaScript,"HTML, CSS, JavaScript, React.js, Python, Flask, MongoDB","Create a recipe recommendation engine that suggests personalized recipes based on user preferences, dietary restrictions, and ingredient availability. Implement machine learning algorithms for better recipe recommendations.",3,Web Development
Language Learning App,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build a language learning application where users can practice vocabulary, grammar, and conversation skills in different languages. Include features like lessons, quizzes, and progress tracking.",2,Web Development
Social Network Analysis Tool,JavaScript,"HTML, CSS, JavaScript, React.js, Python, Flask, MongoDB","Develop a social network analysis tool that analyzes user interactions and network structures on social media platforms. Implement features like network visualization, community detection, and sentiment analysis.",3,Web Development
Cryptocurrency Tracker,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create a cryptocurrency tracker application that displays real-time prices, market data, and portfolio tracking for various cryptocurrencies. Implement features like price alerts and historical price charts.",2,Web Development
Online Auction Platform,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build an online auction platform where users can bid on items, participate in auctions, and manage their bids. Include features like auction listings, bidding history, and automatic bidding.",3,Web Development
Music Recommendation System,JavaScript,"HTML, CSS, JavaScript, React.js, Python, Django, MongoDB","Develop a music recommendation system that suggests songs and playlists based on user preferences, listening history, and music genres. Implement collaborative filtering and content-based recommendation algorithms.",3,Web Development
Health Tracking App,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create a health tracking application where users can log their daily activities, monitor their health metrics, and set fitness goals. Include features like calorie tracking, exercise tracking, and progress charts.",2,Web Development
Crowdfunding Platform,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop a crowdfunding platform where users can create fundraising campaigns and collect donations for various causes or projects. Implement features like campaign creation, payment processing, and campaign updates.",3,Web Development
Podcast App,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build a podcast application that allows users to discover, subscribe to, and listen to podcasts. Include features like episode streaming, offline listening, and personalized recommendations.",2,Web Development
Online Survey Tool,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create an online survey tool for conducting surveys and collecting feedback from users. Include features like customizable survey forms, response analysis, and result visualization.",2,Web Development
Stock Trading Simulator,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop a stock trading simulator that simulates real-time stock market trading with virtual money. Allow users to buy/sell stocks, track their portfolio performance, and analyze market trends.",3,Web Development
Online Recipe Book,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build an online recipe book where users can discover, save, and share recipes from various sources. Include features like recipe categorization, search, and user-generated content.",2,Web Development
Content Management System (CMS),JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop a customizable content management system (CMS) for creating and managing websites, blogs, and online stores. Include features like content editing, publishing workflow, and plugin architecture.",3,Web Development
Travel Planning App,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create a travel planning application that helps users plan their trips, discover destinations, and book accommodations. Include features like itinerary management, travel recommendations, and budget tracking.",2,Web Development
Virtual Classroom Platform,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build a virtual classroom platform for online education, allowing teachers to conduct live classes, share resources, and interact with students in real-time. Include features like video conferencing, screen sharing, and attendance tracking.",3,Web Development
Online Food Ordering System,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop an online food ordering system where users can browse menus, place orders, and make payments for food delivery or pickup. Include features like restaurant listings, order tracking, and customer reviews.",2,Web Development
Music Festival Management System,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create a management system for organizing and managing music festivals, concerts, and events. Include features like event scheduling, ticketing, artist lineup, and attendee registration.",3,Web Development
Weather Forecasting App,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop a weather forecasting application that provides users with accurate weather forecasts, radar maps, and severe weather alerts. Include features like location-based weather updates and customizable notifications.",2,Web Development
Online Library Management System,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create a library management system for managing books, borrowers, and library operations. Include features like book cataloging, loan management, and fine calculation.",2,Web Development
Task Scheduler,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Build a task scheduling application that helps users organize their daily tasks, set reminders, and prioritize tasks based on deadlines and importance. Include features like task categories, recurring tasks, and notifications.",2,Web Development
Fitness Challenge App,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Create a fitness challenge app where users can join challenges, track their progress, and compete with others. Include features like leaderboards, achievement badges, and social sharing.",2,Web Development
Online Appointment Booking System,JavaScript,"HTML, CSS, JavaScript, React.js, Node.js, Express.js, MongoDB","Develop an online appointment booking system for scheduling appointments with doctors, therapists, or service providers. Include features like appointment scheduling, calendar integration, and reminder notifications.",2,Web Development
Fidget Spinner,Python,Pygame,"The logic of the game is that the turns will keep increasing as you press the space bar, and it will reduce its speed and stop at a point where you stop pressing the space bar.",1,Game Development
Number guessing game,Python,Python console application,Some random integer will be selected by the system and the user has to guess that integer in the minimum number of guesses,1,Game Development
Word guessing game,Python,Python console application,"In this game, there is a list of words present, out of which our interpreter will choose 1 random word. The user first has to input their names and then, will be asked to guess any alphabet. If the random word contains that alphabet, it will be shown as the output(with correct placement) else the program will ask you to guess another alphabet.",1,Game Development
Word guessing game 2,Python,Python console application,"In this game, the user needs to enter 5 letter word, if any alphabet is present in the magic word that word will be shown yellow and if the alphabet is present at the same position alphabet will turn green, and if the alphabet is not present in the word then alphabet will become black.",1,Game Development
21 Number game,Python,Python console application,"A game which progresses by counting up 1 to 21, with the player who calls 21 is eliminated. Each player can choose the amount of numbers to count on their turn between 1 to 3.",1,Game Development
Mastermind Game,Python,Python console application,"This is a two player game. One player sets a multi digit number, then the other player tries to guess the number. If the number is not guessed correctly, then the first player reveals the digits that second player correctly guessed.",1,Game Development
2048 Game,Python,Python console application,"There is a 4*4 grid which can be filled with any number. Initially two random cells are filled with 2 in it. Rest cells are empty. We have to press any one of four keys to move up, down, left, or right. When we press any key, the elements of the cell move in that direction such that if any two identical numbers are contained in that particular row (in case of moving left or right) or column (in case of moving up and down) they get add up and extreme cell in that direction fill itself with that number and rest cells goes empty again. After this grid compression any random empty cell gets itself filled with 2. Following this process we have to double the elements by adding up and make 2048 in any of the cell. If we are able to do that we wins. But if during the game there is no empty cell left to be filled with a new 2, then the game goes over.",1,Game Development
Simple FLAMES game,Python,Python console application,"FLAMES is a popular game named after the acronym: Friends, Lovers, Affectionate, Marriage, Enemies, Sibling. Take two names. Remove the common characters with their respective common occurrences. Get the count of the characters that are left. Take FLAMES letters as [F, L, A, M, E, S]. Start removing letter using the count we got. The letter which lasts the process is the result.",1,Game Development
Pokmon Training Game,Python,Python console application,"You are a Pokmon trainer. Each Pokmon has its own power, described by a positive integer value. As you travel, you watch Pokmon and you catch each of them. After each catch, you have to display maximum and minimum powers of Pokmon caught so far.",1,Game Development
Rock Paper Scissor game,Python,Python console application,"In this game, the user gets the first chance to pick the option between Rock, paper, and scissors. After the computer select from the remaining two choices(randomly), the winner is decided as per the rules.",1,Game Development
Cows and Bulls game,Python,Python console application,"A player will create a secret code, usually a 4-digit number. This number should have no repeated digits. Another player makes a guess (4 digit number) to crack the secret number. Upon making a guess, 2 hints will be provided- Cows and Bulls. Bulls indicate the number of correct digits in the correct position and cows indicates the number of correct digits in the wrong position. The player keeps on guessing until the secret code is cracked. The player who guesses in the minimum number of tries wins.",1,Game Development
Higher-Lower Game,Python,Python console application,"The name of some Instagram accounts will be displayed, you have to guess which has a higher number of followers by typing in the name of that account. Make sure you type the name exactly as shown. If the answer is correct, one of the accounts will stay, and some other account will be displayed to compare to.",1,Game Development
Tic Tac Toe,Python,Python console application,"In this game a player can choose between two symbols with his opponent, the usual games use X and O. If the first player chooses X, then the second player must play with O and vice versa. Aim is to create a straight line horizontally or vertically or diagonally",1,Game Development
Sudoku Game,Python,Python console application,"Sudoku is a logic-based, combinatorial number-placement puzzle. The objective is to fill a 99 grid with digits so that each column, each row, and each of the nine 33 subgrids that compose the grid contain all of the digits from 1 to 9.",1,Game Development
Pong Game,Python,Pygame,Develop a simple Pong game where players control paddles to hit a ball back and forth across the screen.,1,Game Development
Snake Game,Python,Pygame,Recreate the classic Snake game where the player controls a snake to eat food and grow while avoiding collisions with walls and its own tail.,1,Game Development
Memory Card Game,Python,Pygame,Build a memory card game where players flip cards to find matching pairs within a grid of cards.,1,Game Development
Flappy Bird,Python,Pygame,Develop a clone of the popular Flappy Bird game where the player controls a bird to navigate through obstacles.,2,Game Development
Brick Breaker Game,Python,Pygame,Build a memory card game where players flip cards to find matching pairs within a grid of cards.,2,Game Development
Space Invaders,Python,Pygame,Recreate the classic Space Invaders game where players control a spaceship to shoot down invading alien ships,2,Game Development
RPG Text-based Adventure,Python,Pygame,Create a text-based role-playing game where players navigate through a story-driven adventure with decision-making elements.,2,Game Development
Chess Game,Python,Pygame,Implement a two-player Chess game with basic rules and gameplay mechanics,2,Game Development
Tower Defense Game,Python,Pygame,Develop a tower defense game where players build towers to defend against waves of enemies.,2,Game Development
Space Shooter Game,Python,Pygame,Create a space shooter game where players control a spaceship to shoot down enemy ships and asteroids.,2,Game Development
RPG Battle System,Python,Pygame,"Build a turn-based RPG battle system with character stats, abilities, and enemy encounters.",2,Game Development
Sokoban Puzzle Game,Python,Pygame,Recreate the Sokoban puzzle game where players push boxes to designated locations to solve levels.,2,Game Development
Match-3 Puzzle Game,Python,Pygame,Create a match-3 puzzle game where players swap adjacent gems to make matches and clear levels.,2,Game Development
Side-Scrolling Shooter Game,Python,Pygame,Develop a side-scrolling shooter game where players control a character to navigate through levels while shooting enemies.,2,Game Development
Escape Room Game,Python,Pygame,Build an escape room-style game where players solve puzzles and find clues to escape from a locked room.,2,Game Development
Multiplayer Tic Tac Toe,Python,"Pygame, Socket Programming",Implement a multiplayer version of Tic Tac Toe where players can challenge each other online.,2,Game Development
Word Search Game,Python,Pygame,Create a word search puzzle game where players find hidden words in a grid of letters.,2,Game Development
Tower Climbing Game,Python,Pygame,Develop a game where players control a character to climb a tower while avoiding obstacles and traps.,2,Game Development
Arcade Racing Game,Python,Pygame,Build an arcade-style racing game where players race against opponents on various tracks.,2,Game Development
Role-Playing Game (RPG) Character Creator,Python,Pygame,Create a tool where players can customize and create their own characters for use in RPG games.,2,Game Development
Bubble Shooter Game,Python,Pygame,Recreate the classic Bubble Shooter game where players shoot bubbles to match colors and clear the board.,2,Game Development
Trivia Quiz Game,Python,Pygame,Develop a trivia quiz game where players answer questions from various categories to test their knowledge.,2,Game Development
Roguelike Dungeon Crawler,Python,libtcod,"Develop a roguelike dungeon crawler game with procedurally generated levels, turn-based combat, and permadeath mechanics.",3,Game Development
Multiplayer Online Battle Arena (MOBA),Python,"Pygame, Twisted",Create a multiplayer online battle arena game where players compete in teams to destroy each other's base,3,Game Development
3D Platformer Game,Python,"Panda3D, Blender","Build a 3D platformer game with complex levels, player movement mechanics, and interactive environments.",3,Game Development
City Simulation Game,Python,Pygame,"Develop a city simulation game where players manage resources, build infrastructure, and govern the city's development.",3,Game Development
Real-time Strategy (RTS) Game,Python,Pygame,"Create a real-time strategy game where players build bases, gather resources, and command armies to defeat opponents.",3,Game Development
assively Multiplayer Online Role-Playing Game (MMORPG),Python,"Unity, Unreal Engine, MySQL, MongoDB","Create a large-scale MMORPG with expansive worlds, player interactions, quests, and persistent gameplay.",3,Game Development
Virtual Reality (VR) Escape Room,Python,"Unity, Unreal Engine, VR SDKs",Develop an immersive virtual reality escape room experience with realistic environments and challenging puzzles.,3,Game Development
Realistic Flight Simulator,Python,"Unity, Unreal Engine, Flight Simulation APIs","Build a realistic flight simulator game with accurate physics, aircraft models, and detailed environments.",3,Game Development
Open World Survival Game,Python,"Unity, Unreal Engine, Blender","Create an open-world survival game where players explore, gather resources, build shelters, and survive against environmental threats and enemies.",3,Game Development
Real-Time Multiplayer Chess,Python,"Django, WebSocket, JavaScript, Chess Engine APIs","Implement a real-time multiplayer chess game with live gameplay, chat, and matchmaking features.",3,Game Development
City-Building Simulation Game,Python,"Unity, Unreal Engine, City Simulation APIs","Develop a city-building simulation game where players manage urban development, infrastructure, economy, and citizen happiness.",3,Game Development
Advanced Puzzle Adventure Game,Python,"Unity, Unreal Engine, Adventure Game Frameworks","Build a puzzle-adventure game with intricate puzzles, nonlinear gameplay, branching storylines, and multiple endings.",3,Game Development
Realistic Racing Simulator,Python,"Unity, Unreal Engine, Racing Simulation APIs","Create a realistic racing simulator game with accurate physics, vehicle models, tracks, and multiplayer racing modes.",3,Game Development
2D Platformer Game,C#,"Unity, Unity 2D",Create a simple 2D platformer game where players control a character to navigate through levels and collect coins.,1,Game Development
Pong Game,C#,"Unity, Unity 2D",Develop a clone of the classic Pong game where players control paddles to hit a ball back and forth.,1,Game Development
Endless Runner Game,C#,"Unity, Unity 2D",Build an endless runner game where players control a character running through an obstacle-filled environment.,1,Game Development
Tic Tac Toe Game,C#,"Unity, Unity 2D",Implement the classic Tic Tac Toe game where players take turns placing their symbols (X or O) on a grid to win.,1,Game Development
Memory Matching Game,C#,"Unity, Unity 2D",Create a memory matching game where players flip cards to find matching pairs within a grid.,1,Game Development
Breakout Game,C#,"Unity, Unity 2D",Create a clone of the classic Breakout game where players control a paddle to bounce a ball and break bricks.,1,Game Development
Fruit Ninja-style Game,C#,"Unity, Unity 2D",Develop a game where players swipe their fingers to slice falling fruits while avoiding bombs.,1,Game Development
Whack-a-Mole Game,C#,"Unity, Unity 2D",Build a Whack-a-Mole game where players hit popping moles with a mallet within a limited time.,1,Game Development
Space Shooter Game,C#,"Unity, Unity 2D/3D",Create a space shooter game where players control a spaceship to shoot down enemy ships and asteroids.,1,Game Development
Infinite Runner Game with Unity's Tilemap,C#,"Unity, Unity 2D",Develop an infinite runner game using Unity's Tilemap system to create randomized levels.,1,Game Development
Flappy Bird Clone,C#,"Unity, Unity 2D",Implement a clone of the popular Flappy Bird game where players navigate a bird through obstacles.,1,Game Development
Sudoku Puzzle Game,C#,"Unity, Unity 2D",Create a Sudoku puzzle game where players solve Sudoku puzzles with varying difficulty levels.,1,Game Development
Bubble Shooter Game,C#,"Unity, Unity 2D",Develop a bubble shooter game where players match and pop bubbles to clear the board.,1,Game Development
Snake Game,C#,"Unity, Unity 2D",Build a clone of the classic Snake game where players control a snake to eat food and grow longer.,1,Game Development
Match-3 Puzzle Game,C#,"Unity, Unity 2D",Create a match-3 puzzle game where players swap adjacent gems to make matches and score points.,1,Game Development
Tower Defense Game,C#,"Unity, Unity 2D/3D",Develop a tower defense game where players strategically place towers to defend against waves of enemies.,2,Game Development
RPG Inventory System,C#,"Unity, Unity UI","Build an inventory system for a role-playing game (RPG) where players can manage items, equipment, and resources.",2,Game Development
Physics-based Puzzle Game,C#,"Unity, Unity Physics",Create a physics-based puzzle game where players solve challenges by manipulating objects and physics mechanics.,2,Game Development
Multiplayer Tic Tac Toe,C#,"Unity, Unity Multiplayer Networking",Implement a multiplayer version of Tic Tac Toe where players can challenge each other online.,2,Game Development
Side-Scrolling Shooter Game,C#,"Unity, Unity 2D/3D",Build a side-scrolling shooter game where players control a character to shoot enemies and avoid obstacles.,2,Game Development
Rogue-like Dungeon Crawler,C#,"Unity, Unity 2D/3D, procedural generation algorithms","Create a rogue-like dungeon crawler game with procedurally generated levels, loot, and turn-based combat.",2,Game Development
City Simulation Game,C#,"Unity, Unity 3D, simulation algorithms","Develop a city simulation game where players manage resources, infrastructure, and citizen happiness.",2,Game Development
Survival Horror Game,C#,"Unity, Unity 3D, AI algorithms","Build a survival horror game with atmospheric environments, puzzles, and stealth-based gameplay mechanics.",2,Game Development
Virtual Reality (VR) Escape Room,C#,"Unity, Unity 3D, VR SDKs (e.g., Oculus, SteamVR)",Create an immersive VR escape room experience with realistic environments and challenging puzzles.,2,Game Development
Point-and-Click Adventure Game,C#,"Unity, Unity 2D/3D, dialogue systems","Develop a point-and-click adventure game with a compelling storyline, character interactions, and puzzle-solving.",2,Game Development
Real-Time Strategy (RTS) Game with AI,C#,"Unity, Unity 3D, AI algorithms",Build an RTS game where players control armies and engage in strategic battles against AI opponents.,2,Game Development
Multiplayer Racing Game,C#,"Unity, Unity 3D, multiplayer networking","Create a multiplayer racing game with customizable vehicles, tracks, and online multiplayer support.",2,Game Development
Stealth Action Game,C#,"Unity, Unity 3D, AI algorithms, physics systems","Develop a stealth action game where players must evade enemies, use gadgets, and complete objectives without being detected.",2,Game Development
Tower Defense Game with Customization,C#,"Unity, Unity 2D/3D, tower defense mechanics","Enhance the tower defense genre by allowing players to customize their towers, upgrade paths, and abilities.",2,Game Development
Educational Game for Kids,C#,"Unity, Unity 2D/3D, educational game mechanics.","Create an educational game targeted at children to teach subjects like math, language, or science in a fun and interactive way.",2,Game Development
Action-Adventure Game with Inventory System,C#,"Unity, Unity 3D, inventory management systems","Build an action-adventure game with an inventory system where players collect items, weapons, and equipment.",2,Game Development
Endless Runner with Power-Ups,C#,"Unity, Unity 2D/3D, game progression systems","Add depth to the endless runner genre by incorporating power-ups, upgrades, and unlockable characters.",2,Game Development
Side-Scrolling Beat 'em Up Game,C#,"Unity, Unity 2D/3D, character animations","Develop a side-scrolling beat 'em up game with multiple characters, combos, and enemy types.",2,Game Development
Resource Management Simulation Game,C#,"Unity, Unity 3D, simulation mechanics",Create a resource management simulation game where players build and manage their own civilization or colony.,2,Game Development
Tower Climbing Game with Physics,C#,"Unity, Unity 2D/3D, physics systems",Build a tower climbing game where players must ascend a procedurally generated tower using physics-based mechanics.,2,Game Development
Open World RPG Game,C#,"Unity, Unity 3D, ProBuilder","Create an open-world role-playing game (RPG) with a vast environment, quests, NPCs, and a dynamic storyline.",3,Game Development
Real-time Strategy (RTS) Game,C#,"Unity, Unity 3D","Develop a real-time strategy game where players build bases, manage resources, and command armies to conquer opponents.",3,Game Development
First-Person Shooter (FPS) Game,C#,"Unity, Unity 3D, Photon Unity Networking (PUN)","Build a first-person shooter game with realistic graphics, weapon mechanics, and multiplayer support.",3,Game Development
Augmented Reality (AR) Game,C#,"Unity, AR Foundation",Create an augmented reality game that combines virtual elements with the real world using AR technology.,3,Game Development
Multiplayer Online Battle Arena (MOBA),C#,"Unity, Unity 3D, Photon Unity Networking (PUN)",Develop a multiplayer online battle arena game where players compete in teams to destroy each other's base.,3,Game Development
Massively Multiplayer Online Role-Playing Game (MMORPG),C#,"Unity, Unity 3D, server-side scripting, network optimization","Develop a large-scale MMORPG with expansive worlds, persistent player progression, and player-driven economies.",3,Game Development
Real-Time Strategy (RTS) Game with Map Editor,C#,"Unity, Unity 3D, procedural generation, map editor development",Create an RTS game with a built-in map editor that allows players to create and share custom maps.,3,Game Development
Open-World Sandbox Game,C#,"Unity, Unity 3D, procedural world generation, AI systems","Build an open-world sandbox game with dynamic environments, player-driven interactions, and emergent gameplay.",3,Game Development
Flight Simulator Game,C#,"Unity, Unity 3D, flight dynamics modeling, weather simulation","Develop a realistic flight simulator game with accurate physics, weather systems, and detailed aircraft models.",3,Game Development
Multiplayer Battle Royale Game,C#,"Unity, Unity 3D, multiplayer networking, large-scale world design",Create a multiplayer battle royale game where players compete in a last-man-standing survival match.,3,Game Development
Virtual Reality (VR) Role-Playing Game (RPG),C#,"Unity, Unity 3D, VR SDKs (e.g., Oculus, SteamVR), AI systems","Develop a VR RPG with immersive environments, interactive NPCs, and deep storytelling elements.",3,Game Development
Realistic Racing Simulation Game,C#,"Unity, Unity 3D, vehicle physics simulation, track design","Build a realistic racing simulation game with accurate vehicle physics, dynamic weather, and detailed tracks.",3,Game Development
Action-Adventure Game with Dynamic World Events,C#,"Unity, Unity 3D, event-driven game design, procedural storytelling",Create an action-adventure game with dynamic world events that change the game world based on player actions.,3,Game Development
Space Exploration and Colonization Game,C#,"Unity, Unity 3D, procedural generation, resource management","Develop a space exploration game where players can explore, colonize, and manage planets and star systems.",3,Game Development
Interactive Narrative Game with Branching Storylines,C#,"Unity, Unity 3D, narrative scripting, dialogue systems","Build an interactive narrative game with branching storylines, player choices, and consequences that affect the outcome.",3,Game Development
